obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
gw_124_20021205,-9.2000000E+00,18.0959658,gw_124,,,,,,,
gw_124_20030611,-9.5200000E+00,18.0959658,gw_124,,,,,,,
gw_124_20031030,-8.2700000E+00,18.0959658,gw_124,,,,,,,
str_012_199201,1.1400000E+00,2.810726752,str_012,,,,,,,
str_012_199202,1.3000000E+00,2.810726752,str_012,,,,,,,
str_012_199203,1.6900000E+00,2.810726752,str_012,,,,,,,
str_012_199204,5.1000000E+00,2.810726752,str_012,,,,,,,
str_012_199205,1.8740000E+01,2.810726752,str_012,,,,,,,
str_012_199206,2.4340000E+01,2.810726752,str_012,,,,,,,
str_012_199207,1.2270000E+01,2.810726752,str_012,,,,,,,
str_012_199208,5.7100000E+00,2.810726752,str_012,,,,,,,
str_012_199209,3.7800000E+00,2.810726752,str_012,,,,,,,
str_012_199210,2.3800000E+00,2.810726752,str_012,,,,,,,
str_012_199211,2.2600000E+00,2.810726752,str_012,,,,,,,
str_012_199212,1.6600000E+00,2.810726752,str_012,,,,,,,
str_012_199301,1.4000000E+00,2.810726752,str_012,,,,,,,
str_012_199302,1.3900000E+00,2.810726752,str_012,,,,,,,
str_012_199303,1.7800000E+00,2.810726752,str_012,,,,,,,
str_012_199304,3.4500000E+00,2.810726752,str_012,,,,,,,
str_012_199305,2.3630000E+01,2.810726752,str_012,,,,,,,
str_012_199306,4.1920000E+01,2.810726752,str_012,,,,,,,
str_012_199307,1.8830000E+01,2.810726752,str_012,,,,,,,
str_012_199308,7.6900000E+00,2.810726752,str_012,,,,,,,
str_012_199309,5.3200000E+00,2.810726752,str_012,,,,,,,
str_012_199310,2.9000000E+00,2.810726752,str_012,,,,,,,
str_012_199311,2.2300000E+00,2.810726752,str_012,,,,,,,
str_012_199312,1.8100000E+00,2.810726752,str_012,,,,,,,
str_012_199401,1.8700000E+00,2.810726752,str_012,,,,,,,
str_012_199402,1.6300000E+00,2.810726752,str_012,,,,,,,
str_012_199403,2.1000000E+00,2.810726752,str_012,,,,,,,
str_012_199404,5.1700000E+00,2.810726752,str_012,,,,,,,
str_012_199405,1.8170000E+01,2.810726752,str_012,,,,,,,
str_012_199406,3.2680000E+01,2.810726752,str_012,,,,,,,
str_012_199407,6.3600000E+00,2.810726752,str_012,,,,,,,
str_012_199408,3.3800000E+00,2.810726752,str_012,,,,,,,
str_012_199409,5.2100000E+00,2.810726752,str_012,,,,,,,
str_012_199410,4.4600000E+00,2.810726752,str_012,,,,,,,
str_012_199411,2.8100000E+00,2.810726752,str_012,,,,,,,
str_012_199412,2.2700000E+00,2.810726752,str_012,,,,,,,
str_012_199501,2.2300000E+00,2.810726752,str_012,,,,,,,
str_012_199502,2.4300000E+00,2.810726752,str_012,,,,,,,
str_012_199503,2.9700000E+00,2.810726752,str_012,,,,,,,
str_012_199504,3.5300000E+00,2.810726752,str_012,,,,,,,
str_012_199505,8.5400000E+00,2.810726752,str_012,,,,,,,
str_012_199506,4.4030000E+01,2.810726752,str_012,,,,,,,
str_012_199507,3.9440000E+01,2.810726752,str_012,,,,,,,
str_012_199508,1.4710000E+01,2.810726752,str_012,,,,,,,
str_012_199509,5.9300000E+00,2.810726752,str_012,,,,,,,
str_012_199510,3.5400000E+00,2.810726752,str_012,,,,,,,
str_012_199511,2.3600000E+00,2.810726752,str_012,,,,,,,
str_012_199512,1.9500000E+00,2.810726752,str_012,,,,,,,
str_012_199601,2.0900000E+00,2.810726752,str_012,,,,,,,
str_012_199602,2.1100000E+00,2.810726752,str_012,,,,,,,
str_012_199603,1.9000000E+00,2.810726752,str_012,,,,,,,
str_012_199604,5.4500000E+00,2.810726752,str_012,,,,,,,
str_012_199605,2.8370000E+01,2.810726752,str_012,,,,,,,
str_012_199606,2.0990000E+01,2.810726752,str_012,,,,,,,
str_012_199607,6.9300000E+00,2.810726752,str_012,,,,,,,
str_012_199608,3.2700000E+00,2.810726752,str_012,,,,,,,
str_012_199609,3.6600000E+00,2.810726752,str_012,,,,,,,
str_012_199610,4.9600000E+00,2.810726752,str_012,,,,,,,
str_012_199611,2.7800000E+00,2.810726752,str_012,,,,,,,
str_012_199612,2.0500000E+00,2.810726752,str_012,,,,,,,
str_012_199701,1.7900000E+00,2.810726752,str_012,,,,,,,
str_012_199702,1.7700000E+00,2.810726752,str_012,,,,,,,
str_012_199703,2.5500000E+00,2.810726752,str_012,,,,,,,
str_012_199704,4.1200000E+00,2.810726752,str_012,,,,,,,
str_012_199705,2.1340000E+01,2.810726752,str_012,,,,,,,
str_012_199706,4.6640000E+01,2.810726752,str_012,,,,,,,
str_012_199707,2.3690000E+01,2.810726752,str_012,,,,,,,
str_012_199708,1.2940000E+01,2.810726752,str_012,,,,,,,
str_012_199709,9.3600000E+00,2.810726752,str_012,,,,,,,
str_012_199710,7.6400000E+00,2.810726752,str_012,,,,,,,
str_012_199711,3.8400000E+00,2.810726752,str_012,,,,,,,
str_012_199712,2.6300000E+00,2.810726752,str_012,,,,,,,
str_012_199801,2.2600000E+00,2.810726752,str_012,,,,,,,
str_012_199802,1.8400000E+00,2.810726752,str_012,,,,,,,
str_012_199803,2.2600000E+00,2.810726752,str_012,,,,,,,
str_012_199804,3.9300000E+00,2.810726752,str_012,,,,,,,
str_012_199805,1.6490000E+01,2.810726752,str_012,,,,,,,
str_012_199806,2.6470000E+01,2.810726752,str_012,,,,,,,
str_012_199807,1.6400000E+01,2.810726752,str_012,,,,,,,
str_012_199808,5.4500000E+00,2.810726752,str_012,,,,,,,
str_012_199809,3.9000000E+00,2.810726752,str_012,,,,,,,
str_012_199810,3.5900000E+00,2.810726752,str_012,,,,,,,
str_012_199811,3.1900000E+00,2.810726752,str_012,,,,,,,
str_012_199812,2.1800000E+00,2.810726752,str_012,,,,,,,
str_012_199901,1.6000000E+00,2.810726752,str_012,,,,,,,
str_012_199902,1.5400000E+00,2.810726752,str_012,,,,,,,
str_012_199903,1.8200000E+00,2.810726752,str_012,,,,,,,
str_012_199904,3.9000000E+00,2.810726752,str_012,,,,,,,
str_012_199905,1.4350000E+01,2.810726752,str_012,,,,,,,
str_012_199906,4.0740000E+01,2.810726752,str_012,,,,,,,
str_012_199907,1.9660000E+01,2.810726752,str_012,,,,,,,
str_012_199908,1.4360000E+01,2.810726752,str_012,,,,,,,
str_012_199909,9.5100000E+00,2.810726752,str_012,,,,,,,
str_012_199910,4.0400000E+00,2.810726752,str_012,,,,,,,
str_012_199911,2.5600000E+00,2.810726752,str_012,,,,,,,
str_012_199912,2.0700000E+00,2.810726752,str_012,,,,,,,
str_012_200001,1.5800000E+00,2.810726752,str_012,,,,,,,
str_012_200002,1.2100000E+00,2.810726752,str_012,,,,,,,
str_012_200003,1.3900000E+00,2.810726752,str_012,,,,,,,
str_012_200004,6.1200000E+00,2.810726752,str_012,,,,,,,
str_012_200005,2.1930000E+01,2.810726752,str_012,,,,,,,
str_012_200006,1.8410000E+01,2.810726752,str_012,,,,,,,
