name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M075_LHCO3_200104,253987,5570.23,237668,265798,259557,248416,95912.6,23177.5,43931.1,187425,119090,72735.1,50242.7
M075_LHCO3_200207,2958.49,5492.43,-10858,18697,8450.92,-2533.95,70764.2,17512.6,31667.9,140599,88276.8,53251.5,12970.9
M075_LHCO3_200305,323101,5216.8,302717,336217,328318,317885,81630.9,22121.4,38262.9,168639,103752,59509.5,134079
M075_LHCO3_200403,216959,5042.49,204867,229435,222001,211916,93979.4,23187.7,41826,180310,117167,70791.7,24556.9
M075_LHCO3_200407,268844,5452.88,253797,280192,274297,263391,73402.8,18391.6,32643.1,145657,91794.4,55011.2,108140
M075_LHCO3_200501,180620,5252.22,166010,194937,185873,175368,82422.7,20833.3,37186.7,159977,103256,61589.4,6033.17
M075_LHCO3_200503,253942,5182.31,237748,267557,259124,248760,100192,23564.4,50266.9,191945,123756,76627.5,45803.5
M075_LHCO3_200904,255217,5307.09,240526,267392,260524,249910,126964,30921.2,59776.5,235946,157885,96043.1,4580.66
M075_LHCO3_200906,363855,5433.7,347639,380702,369289,358421,158163,42125.5,67434.6,284854,200288,116037,62784.4
M075_LHCO3_201005,409562,4928.19,397284,419971,414490,404633,203596,59065.6,84398.7,366794,262662,144531,30489.5
M075_LK_199201,1936.74,81.3468,1704.48,2173.33,2018.09,1855.4,284.998,61.6751,134.838,423.783,346.673,223.323,1280.7
M075_LK_199203,2767.41,82.8979,2522.48,3012.04,2850.31,2684.51,396.032,72.4115,208.379,568.436,468.443,323.62,1954.04
M075_LK_199205,6407.46,78.7452,6199.28,6628.99,6486.21,6328.72,413.224,72.9654,260.738,578.471,486.189,340.259,5620.81
M075_LK_199208,3460.33,83.99,3247.98,3664.4,3544.32,3376.34,333.59,81.5549,172.989,524.473,415.145,252.035,2723.51
M075_LK_199211,2432,85.2607,2230.02,2644.45,2517.26,2346.74,329.312,78.5662,176.022,522.079,407.878,250.746,1707.94
