name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
STR_012_201111,2.45683,0.349591,1.35598,3.42421,2.80643,2.10724,0.757443,0.0121204,0.7425,0.7968,0.769563,0.745323,0.559175
STR_057_199203,12.8752,0.836245,10.3333,14.805,13.7115,12.039,5.14104,0.025752,5.078,5.224,5.16679,5.11528,5.10927
STR_057_199204,40.3684,0.837103,38.0816,42.889,41.2055,39.5313,57.0654,0.0878438,56.88,57.22,57.1533,56.9776,13.991
STR_057_199205,87.2102,0.805989,84.8405,90.0032,88.0162,86.4043,41.101,0.0582286,40.99,41.23,41.1593,41.0428,43.6105
STR_057_199206,71.8536,0.781316,69.5046,74.5288,72.6349,71.0723,55.6857,0.0672573,55.51,55.87,55.753,55.6185,13.6346
STR_057_199207,28.4481,0.768527,26.507,30.887,29.2166,27.6796,25.9084,0.0286387,25.83,25.98,25.937,25.8798,0.526983
STR_057_199208,18.45,0.768852,16.007,20.4869,19.2188,17.6811,28.6506,0.0314154,28.59,28.72,28.682,28.6192,8.10308
STR_057_199210,9.06573,0.793598,6.85825,11.2628,9.85932,8.27213,4.04555,0.0380959,3.965,4.144,4.08365,4.00746,2.71425
STR_057_199211,8.13917,0.813312,5.7174,10.7764,8.95249,7.32586,5.13925,0.0239781,5.096,5.204,5.16323,5.11527,0.513397
STR_057_199212,7.92649,0.762655,5.54205,10.1341,8.68914,7.16383,10.723,0.0248917,10.68,10.82,10.7479,10.6981,0.545924
STR_057_199301,7.54912,0.839097,5.1019,10.0182,8.38822,6.71003,13.2594,0.0225685,13.17,13.31,13.282,13.2368,3.1518
STR_057_199303,29.5233,0.796218,26.7396,32.388,30.3195,28.727,9.71314,0.0444904,9.595,9.829,9.75763,9.66865,16.9106
STR_057_199304,45.4201,0.783822,43.4765,47.5819,46.2039,44.6363,20.2072,0.0940932,19.95,20.37,20.3013,20.1131,23.1065
STR_057_199306,119.611,0.826742,117.508,122.517,120.438,118.784,73.5934,0.0806854,73.25,73.82,73.6741,73.5127,43.6876
STR_057_199307,43.2293,0.814737,41.2303,45.2111,44.044,42.4145,16.4048,0.0558631,16.34,16.53,16.4606,16.3489,24.7003
STR_057_199308,23.0599,0.783201,20.546,25.3006,23.8431,22.2767,45.5253,0.0509534,45.44,45.66,45.5762,45.4743,20.1394
STR_057_199310,11.4875,0.733682,9.53454,13.4845,12.2212,10.7538,7.07417,0.0171232,7.031,7.129,7.09129,7.05704,2.40554
STR_057_199311,8.86626,0.77556,6.53027,10.6914,9.64182,8.0907,5.80378,0.0140941,5.773,5.872,5.81787,5.78968,0.658268
STR_057_199402,7.17312,0.821124,4.72594,9.59785,7.99424,6.35199,10.3575,0.0462426,10.27,10.47,10.4038,10.3113,0.672149
STR_057_199403,9.56692,0.800597,7.26414,11.9274,10.3675,8.76632,5.78977,0.0441497,5.701,5.877,5.83392,5.74562,1.38714
STR_057_199405,65.3944,0.80805,62.4409,67.3398,66.2024,64.5863,70.8893,0.0571528,70.71,71.11,70.9465,70.8322,3.3702
STR_057_199406,70.4131,0.825772,68.0541,72.7143,71.2388,69.5873,42.526,0.0532433,42.38,42.66,42.5792,42.4727,25.3941
STR_057_199407,17.151,0.776534,14.6782,20.0281,17.9275,16.3745,11.6919,0.0297266,11.63,11.77,11.7216,11.6622,2.90822
STR_057_199408,10.1118,0.845188,7.38254,12.1754,10.957,9.26659,22.5231,0.0240161,22.46,22.59,22.5471,22.4991,10.2846
STR_057_199409,16.084,0.7911,13.6294,18.3851,16.8751,15.2929,31.8383,0.0159884,31.81,31.9,31.8543,31.8223,13.4249
